frame,possession_id,possession_frame_index,offense_team,defense_team,ball_handler_id,ball_handler_jersey,ball_handler_team,handler_zone,offense_spacing_m,defensive_pressure_m,numerical_advantage,is_fast_break,event_type,possession_change,tactical_x,tactical_y,speed_mps,distance_delta_m,predicted_action,predicted_confidence,context_risk_index,receiver_id,receiver_jersey,receiver_team,next_5f_event
82,1,40,1,2,21,5,1,COURT_ZONE_WING_RIGHT,61.78225814081725,,2,1,NONE,0,259.8563537597656,101.09146118164062,7.721320373317381,0.37679007639457096,FAST_BREAK_PUSH,,0.18,-1,,-1,NONE
83,1,41,1,2,21,5,1,COURT_ZONE_WING_RIGHT,61.666792515061466,,2,1,NONE,0,262.1139831542969,98.21553802490234,8.724106719166546,0.34094287459800976,FAST_BREAK_PUSH,,0.18,-1,,-1,NONE
84,1,42,1,2,21,5,1,COURT_ZONE_WING_RIGHT,63.35906945490434,,2,1,NONE,0,263.628173828125,97.66339111328125,7.037988114787877,0.15029367360732915,FAST_BREAK_PUSH,,0.18,-1,,-1,NONE
85,1,43,1,2,21,5,1,COURT_ZONE_WING_RIGHT,60.18841870850126,,2,1,NONE,0,264.7037048339844,97.67536163330078,5.4263932852205565,0.10030003469565256,FAST_BREAK_PUSH,,0.18,-1,,-1,NONE
86,1,44,1,2,21,5,1,COURT_ZONE_WING_RIGHT,60.520564656173484,,2,1,NONE,0,266.02142333984375,96.22771453857422,5.4463643487932725,0.18254403147174492,FAST_BREAK_PUSH,,0.18,-1,,-1,NONE
87,1,45,1,2,21,5,1,COURT_ZONE_WING_RIGHT,62.603556122499015,,2,1,NONE,0,268.4811706542969,94.10279083251953,6.905132352286236,0.30310947858418935,FAST_BREAK_PUSH,,0.18,-1,,-1,NONE
88,1,46,1,2,21,5,1,COURT_ZONE_WING_RIGHT,58.83782936799672,,2,1,NONE,0,270.7057800292969,88.50105285644531,10.887666470165978,0.5620489215661865,FAST_BREAK_PUSH,,0.18,-1,,-1,NONE
89,1,47,1,2,21,5,1,COURT_ZONE_WING_RIGHT,60.626660939749414,,2,1,NONE,0,271.90997314453125,85.66525268554688,9.980127750313594,0.28729398901783393,FAST_BREAK_PUSH,,0.18,-1,,-1,NONE
90,1,48,1,2,21,5,1,COURT_ZONE_WING_RIGHT,56.2720119169021,,2,1,NONE,0,273.70013427734375,83.89408111572266,8.806045712686544,0.23483075520819888,FAST_BREAK_PUSH,,0.18,-1,,-1,NONE
91,1,49,1,2,21,5,1,COURT_ZONE_WING_RIGHT,61.058092791271406,,2,1,NONE,0,277.07806396484375,79.84841918945312,11.181309232921688,0.4914734837758135,FAST_BREAK_PUSH,,0.18,-1,,-1,NONE
92,1,50,1,2,21,5,1,COURT_ZONE_WING_RIGHT,61.45633642502501,,2,1,NONE,0,278.2572326660156,78.37700653076172,8.818785633071638,0.17583334110988533,FAST_BREAK_PUSH,,0.18,-1,,-1,NONE
93,1,51,1,2,21,5,1,COURT_ZONE_WING_RIGHT,61.571936653456625,,2,1,NONE,0,281.59405517578125,73.31742095947266,12.0,0.5651765371572165,FAST_BREAK_PUSH,,0.18,-1,,-1,NONE
94,1,52,1,2,21,5,1,COURT_ZONE_WING_RIGHT,71.62731950229012,,2,1,NONE,0,283.01800537109375,70.77369689941406,10.462083763938782,0.2718403136615653,FAST_BREAK_PUSH,,0.18,-1,,-1,NONE
95,1,53,1,2,21,5,1,COURT_ZONE_WING_RIGHT,69.53975048646546,,2,1,NONE,0,283.5311279296875,72.47743225097656,8.268329586325935,0.16592327733022216,FAST_BREAK_PUSH,,0.18,-1,,-1,NONE
96,1,54,1,2,21,5,1,COURT_ZONE_WING_RIGHT,66.60239467262694,,2,1,NONE,0,284.7728271484375,71.76505279541016,6.562897818980605,0.13349167226542033,FAST_BREAK_PUSH,,0.18,-1,,-1,NONE
97,1,55,1,2,21,5,1,COURT_ZONE_WING_RIGHT,66.88306031806715,,2,1,NONE,0,285.3635559082031,73.45216369628906,5.938008433794438,0.16668914520050626,FAST_BREAK_PUSH,,0.18,-1,,-1,NONE
98,-1,0,-1,-1,-1,,-1,COURT_ZONE_UNKNOWN,,,0,0,NONE,0,,,,,NO_POSSESSION,,0.37,-1,,-1,NONE
99,-1,0,-1,-1,-1,,-1,COURT_ZONE_UNKNOWN,,,0,0,NONE,0,,,,,NO_POSSESSION,,0.37,-1,,-1,NONE
100,-1,0,-1,-1,-1,,-1,COURT_ZONE_UNKNOWN,,,0,0,NONE,0,,,,,NO_POSSESSION,,0.37,-1,,-1,NONE
101,-1,0,-1,-1,-1,,-1,COURT_ZONE_UNKNOWN,,,0,0,NONE,0,,,,,NO_POSSESSION,,0.37,-1,,-1,NONE
102,-1,0,-1,-1,-1,,-1,COURT_ZONE_UNKNOWN,,,0,0,NONE,0,,,,,NO_POSSESSION,,0.37,-1,,-1,NONE
103,-1,0,-1,-1,-1,,-1,COURT_ZONE_UNKNOWN,,,0,0,NONE,0,,,,,NO_POSSESSION,,0.37,-1,,-1,NONE
104,-1,0,-1,-1,-1,,-1,COURT_ZONE_UNKNOWN,,,0,0,NONE,0,,,,,NO_POSSESSION,,0.37,-1,,-1,NONE
105,-1,0,-1,-1,-1,,-1,COURT_ZONE_UNKNOWN,,,0,0,NONE,0,,,,,NO_POSSESSION,,0.37,-1,,-1,NONE
106,-1,0,-1,-1,-1,,-1,COURT_ZONE_UNKNOWN,,,0,0,NONE,0,,,,,NO_POSSESSION,,0.37,-1,,-1,NONE
107,-1,0,-1,-1,-1,,-1,COURT_ZONE_UNKNOWN,,,0,0,NONE,0,,,,,NO_POSSESSION,,0.37,-1,,-1,NONE
108,-1,0,-1,-1,-1,,-1,COURT_ZONE_UNKNOWN,,,0,0,NONE,0,,,,,NO_POSSESSION,,0.37,-1,,-1,NONE
109,-1,0,-1,-1,-1,,-1,COURT_ZONE_UNKNOWN,,,0,0,NONE,0,,,,,NO_POSSESSION,,0.37,-1,,-1,NONE
110,-1,0,-1,-1,-1,,-1,COURT_ZONE_UNKNOWN,,,0,0,NONE,0,,,,,NO_POSSESSION,,0.37,-1,,-1,NONE
111,-1,0,-1,-1,-1,,-1,COURT_ZONE_UNKNOWN,,,0,0,NONE,0,,,,,NO_POSSESSION,,0.37,-1,,-1,NONE
112,-1,0,-1,-1,-1,,-1,COURT_ZONE_UNKNOWN,,,0,0,NONE,0,,,,,NO_POSSESSION,,0.37,-1,,-1,NONE
113,-1,0,-1,-1,-1,,-1,COURT_ZONE_UNKNOWN,,,0,0,NONE,0,,,,,NO_POSSESSION,,0.37,-1,,-1,NONE
114,-1,0,-1,-1,-1,,-1,COURT_ZONE_UNKNOWN,,,0,0,NONE,0,,,,,NO_POSSESSION,,0.37,-1,,-1,NONE
115,-1,0,-1,-1,-1,,-1,COURT_ZONE_UNKNOWN,,,0,0,NONE,0,,,,,NO_POSSESSION,,0.37,-1,,-1,NONE
116,-1,0,-1,-1,-1,,-1,COURT_ZONE_UNKNOWN,,,0,0,NONE,0,,,,,NO_POSSESSION,,0.37,-1,,-1,NONE
